Process ID,Starting CPU Time,Ending CPU Time,Starting Burst Time,Ending Burst Time,Completion Time,,Starting CPU Time,Ending CPU Time
1,0,25,585,560,0
,,,,,,Switching Processes: 1 --> 2,25,28
2,28,53,972,947,0
,,,,,,Switching Processes: 2 --> 3,53,56
3,56,81,992,967,0
,,,,,,Switching Processes: 3 --> 4,81,84
4,84,109,633,608,0
,,,,,,Switching Processes: 4 --> 5,109,112
5,112,137,827,802,0
,,,,,,Switching Processes: 5 --> 6,137,140
6,140,165,306,281,0
,,,,,,Switching Processes: 6 --> 7,165,168
7,168,193,422,397,0
,,,,,,Switching Processes: 7 --> 8,193,196
8,196,221,615,590,0
,,,,,,Switching Processes: 8 --> 9,221,224
9,224,249,695,670,0
,,,,,,Switching Processes: 9 --> 10,249,252
10,252,277,702,677,0
,,,,,,Switching Processes: 10 --> 11,277,280
11,280,305,942,917,0
,,,,,,Switching Processes: 11 --> 12,305,308
12,308,333,969,944,0
,,,,,,Switching Processes: 12 --> 13,333,336
13,336,361,955,930,0
,,,,,,Switching Processes: 13 --> 14,361,364
14,364,389,764,739,0
,,,,,,Switching Processes: 14 --> 15,389,392
15,392,417,589,564,0
,,,,,,Switching Processes: 15 --> 16,417,420
16,420,445,103,78,0
,,,,,,Switching Processes: 16 --> 17,445,448
17,448,473,364,339,0
,,,,,,Switching Processes: 17 --> 18,473,476
18,476,501,346,321,0
,,,,,,Switching Processes: 18 --> 19,501,504
19,504,529,271,246,0
,,,,,,Switching Processes: 19 --> 1,529,532
1,532,557,560,535,0
,,,,,,Switching Processes: 1 --> 2,557,560
2,560,585,947,922,0
,,,,,,Switching Processes: 2 --> 3,585,588
3,588,613,967,942,0
,,,,,,Switching Processes: 3 --> 4,613,616
4,616,641,608,583,0
,,,,,,Switching Processes: 4 --> 5,641,644
5,644,669,802,777,0
,,,,,,Switching Processes: 5 --> 6,669,672
6,672,697,281,256,0
,,,,,,Switching Processes: 6 --> 7,697,700
7,700,725,397,372,0
,,,,,,Switching Processes: 7 --> 8,725,728
8,728,753,590,565,0
,,,,,,Switching Processes: 8 --> 9,753,756
9,756,781,670,645,0
,,,,,,Switching Processes: 9 --> 10,781,784
