Process ID,Starting CPU Time,Ending CPU Time,Starting Burst Time,Ending Burst Time,Completion Time,,Starting CPU Time,Ending CPU Time
1,0,50,624,574,0
,,,,,,Switching Processes: 1 --> 2,50,53
2,53,103,488,438,0
,,,,,,Switching Processes: 2 --> 3,103,106
3,106,156,231,181,0
,,,,,,Switching Processes: 3 --> 4,156,159
4,159,209,337,287,0
,,,,,,Switching Processes: 4 --> 5,209,212
5,212,262,222,172,0
,,,,,,Switching Processes: 5 --> 6,262,265
6,265,315,130,80,0
,,,,,,Switching Processes: 6 --> 7,315,318
7,318,368,317,267,0
,,,,,,Switching Processes: 7 --> 8,368,371
8,371,421,439,389,0
,,,,,,Switching Processes: 8 --> 9,421,424
9,424,474,942,892,0
,,,,,,Switching Processes: 9 --> 1,474,477
1,477,527,574,524,0
,,,,,,Switching Processes: 1 --> 2,527,530
2,530,580,438,388,0
,,,,,,Switching Processes: 2 --> 3,580,583
3,583,633,181,131,0
,,,,,,Switching Processes: 3 --> 4,633,636
4,636,686,287,237,0
,,,,,,Switching Processes: 4 --> 5,686,689
5,689,739,172,122,0
,,,,,,Switching Processes: 5 --> 6,739,742
6,742,792,80,30,0
,,,,,,Switching Processes: 6 --> 7,792,795
7,795,845,267,217,0
,,,,,,Switching Processes: 7 --> 8,845,848
8,848,898,389,339,0
,,,,,,Switching Processes: 8 --> 9,898,901
9,901,951,892,842,0
,,,,,,Switching Processes: 9 --> 1,951,954
1,954,1004,524,474,0
,,,,,,Switching Processes: 1 --> 2,1004,1007
2,1007,1057,388,338,0
,,,,,,Switching Processes: 2 --> 3,1057,1060
3,1060,1110,131,81,0
,,,,,,Switching Processes: 3 --> 4,1110,1113
4,1113,1163,237,187,0
,,,,,,Switching Processes: 4 --> 5,1163,1166
5,1166,1216,122,72,0
,,,,,,Switching Processes: 5 --> 6,1216,1219
6,1219,1249,30,0,1249
,,,,,,Process 6 finished
,,,,,,Switching Processes: 6 --> 7,1249,1252
7,1252,1302,217,167,0
,,,,,,Switching Processes: 7 --> 8,1302,1305
8,1305,1355,339,289,0
,,,,,,Switching Processes: 8 --> 9,1355,1358
9,1358,1408,842,792,0
,,,,,,Switching Processes: 9 --> 1,1408,1411
1,1411,1461,474,424,0
,,,,,,Switching Processes: 1 --> 2,1461,1464
2,1464,1514,338,288,0
,,,,,,Switching Processes: 2 --> 3,1514,1517
3,1517,1567,81,31,0
,,,,,,Switching Processes: 3 --> 4,1567,1570
4,1570,1620,187,137,0
,,,,,,Switching Processes: 4 --> 5,1620,1623
5,1623,1673,72,22,0
,,,,,,Switching Processes: 5 --> 7,1673,1676
7,1676,1726,167,117,0
,,,,,,Switching Processes: 7 --> 8,1726,1729
8,1729,1779,289,239,0
,,,,,,Switching Processes: 8 --> 9,1779,1782
9,1782,1832,792,742,0
,,,,,,Switching Processes: 9 --> 1,1832,1835
1,1835,1885,424,374,0
,,,,,,Switching Processes: 1 --> 2,1885,1888
2,1888,1938,288,238,0
,,,,,,Switching Processes: 2 --> 3,1938,1941
3,1941,1972,31,0,1972
,,,,,,Process 3 finished
,,,,,,Switching Processes: 3 --> 4,1972,1975
4,1975,2025,137,87,0
,,,,,,Switching Processes: 4 --> 5,2025,2028
5,2028,2050,22,0,2050
,,,,,,Process 5 finished
,,,,,,Switching Processes: 5 --> 7,2050,2053
7,2053,2103,117,67,0
,,,,,,Switching Processes: 7 --> 8,2103,2106
8,2106,2156,239,189,0
,,,,,,Switching Processes: 8 --> 9,2156,2159
9,2159,2209,742,692,0
,,,,,,Switching Processes: 9 --> 1,2209,2212
1,2212,2262,374,324,0
,,,,,,Switching Processes: 1 --> 2,2262,2265
2,2265,2315,238,188,0
,,,,,,Switching Processes: 2 --> 4,2315,2318
4,2318,2368,87,37,0
,,,,,,Switching Processes: 4 --> 7,2368,2371
7,2371,2421,67,17,0
,,,,,,Switching Processes: 7 --> 8,2421,2424
8,2424,2474,189,139,0
,,,,,,Switching Processes: 8 --> 9,2474,2477
9,2477,2527,692,642,0
,,,,,,Switching Processes: 9 --> 1,2527,2530
1,2530,2580,324,274,0
,,,,,,Switching Processes: 1 --> 2,2580,2583
2,2583,2633,188,138,0
,,,,,,Switching Processes: 2 --> 4,2633,2636
4,2636,2673,37,0,2673
,,,,,,Process 4 finished
,,,,,,Switching Processes: 4 --> 7,2673,2676
7,2676,2693,17,0,2693
,,,,,,Process 7 finished
,,,,,,Switching Processes: 7 --> 8,2693,2696
8,2696,2746,139,89,0
,,,,,,Switching Processes: 8 --> 9,2746,2749
9,2749,2799,642,592,0
,,,,,,Switching Processes: 9 --> 1,2799,2802
1,2802,2852,274,224,0
,,,,,,Switching Processes: 1 --> 2,2852,2855
2,2855,2905,138,88,0
,,,,,,Switching Processes: 2 --> 8,2905,2908
8,2908,2958,89,39,0
,,,,,,Switching Processes: 8 --> 9,2958,2961
9,2961,3011,592,542,0
,,,,,,Switching Processes: 9 --> 1,3011,3014
1,3014,3064,224,174,0
,,,,,,Switching Processes: 1 --> 2,3064,3067
2,3067,3117,88,38,0
,,,,,,Switching Processes: 2 --> 8,3117,3120
8,3120,3159,39,0,3159
,,,,,,Process 8 finished
,,,,,,Switching Processes: 8 --> 9,3159,3162
9,3162,3212,542,492,0
,,,,,,Switching Processes: 9 --> 1,3212,3215
1,3215,3265,174,124,0
,,,,,,Switching Processes: 1 --> 2,3265,3268
2,3268,3306,38,0,3306
,,,,,,Process 2 finished
,,,,,,Switching Processes: 2 --> 9,3306,3309
9,3309,3359,492,442,0
,,,,,,Switching Processes: 9 --> 1,3359,3362
1,3362,3412,124,74,0
,,,,,,Switching Processes: 1 --> 9,3412,3415
9,3415,3465,442,392,0
,,,,,,Switching Processes: 9 --> 1,3465,3468
1,3468,3518,74,24,0
,,,,,,Switching Processes: 1 --> 9,3518,3521
9,3521,3571,392,342,0
,,,,,,Switching Processes: 9 --> 1,3571,3574
1,3574,3598,24,0,3598
,,,,,,Process 1 finished
,,,,,,Switching Processes: 1 --> 9,3598,3601
9,3601,3651,342,292,0
9,3651,3701,292,242,0
9,3701,3751,242,192,0
9,3751,3801,192,142,0
9,3801,3851,142,92,0
9,3851,3901,92,42,0
9,3901,3943,42,0,3943
,,,,,,Process 9 finished

,,,,,,Average Completion Time: 2738
